Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-05 13:00:00,4.6,50.0,0.026251591421652166,51.67505646339496,2000
2017-01-05 14:00:00,5.0,70.0,-26.54037556602382,65.9305429253074,2000
2017-01-05 15:00:00,4.0,70.0,-49.54405092286286,74.30319603391979,2000
2017-01-05 16:00:00,4.3,50.0,-74.00241890234464,84.2535482318674,2000
2017-01-05 17:00:00,4.3,50.0,-94.86078688182641,94.20390042981504,2000
2017-01-05 18:00:00,3.7,50.0,-113.34449886417119,102.76583139083975,2000
2017-01-05 19:00:00,3.9,50.0,-132.55699643263486,108.71238814090775,2000
2017-01-05 20:00:00,4.9,50.0,-156.1500204092536,120.0511615757783,2000
2017-01-05 21:00:00,4.8,50.0,-166.00437495152025,132.38980398713412,2000
2017-01-05 22:00:00,4.2,50.0,-180.96986036630847,140.87748012962214,2000
2017-01-05 23:00:00,4.7,50.0,-193.93133234388162,150.31344648551843,2000
2017-01-06 00:00:00,4.2,50.0,-209.09901231763732,163.0406411573119,2000
2017-01-06 01:00:00,4.2,50.0,-223.5616042975963,172.75958981577236,2000
2017-01-06 02:00:00,4.2,50.0,-235.1441962775552,181.39853847423282,2000
2017-01-06 03:00:00,4.1,50.0,-242.59014826467174,187.64643404038597,2000
2017-01-06 04:00:00,3.3,50.0,-250.8288654877445,192.91472543908162,2000
2017-01-06 05:00:00,3.2,50.0,-257.3142796921275,193.8921411764949,2000
2017-01-06 06:00:00,3.3,50.0,-261.7266956844928,197.5945978082894,2000
2017-01-06 07:00:00,2.9,50.0,-262.55402368306136,198.28880842675085,2000
2017-01-06 08:00:00,3.2,50.0,-262.5833327372359,202.49241314881152,2000
2017-01-06 09:00:00,3.2,50.0,-264.30408850882503,207.3116541288584,2000
2017-01-06 10:00:00,2.4,70.0,-263.04664876863905,202.39898782462893,2000
2017-01-06 11:00:00,2.0,70.0,-261.2633796530897,197.68802313247198,2000
2017-01-06 12:00:00,1.5,50.0,-256.85096366072446,193.9855665006775,2000
2017-01-06 13:00:00,1.4,140.0,-247.40491723549428,179.48013969094873,1944
2017-01-06 14:00:00,1.9,250.0,-224.06295253517234,170.98435933073915,1957
2017-01-06 15:00:00,1.3,270.0,-205.85137879585525,166.05926926684953,1998
2017-01-06 16:00:00,1.5,160.0,-195.83991959033207,151.03457691665798,1925
2017-01-06 17:00:00,1.3,250.0,-179.58379014557224,139.48357044794622,1770
2017-01-06 18:00:00,1.3,270.0,-164.70007816322752,130.92163948692152,1548
2017-01-06 19:00:00,1.9,270.0,-147.104814181837,121.89690144692251,1339
2017-01-06 20:00:00,1.5,250.0,-128.51745005297434,108.71121923809332,1231
2017-01-06 21:00:00,1.1,320.0,-112.73476314151971,100.63738533746108,1233
2017-01-06 22:00:00,0.3,0.0,-101.15217116156077,91.9984366790006,1156
2017-01-06 23:00:00,0.7,360.0,-88.19069918398768,83.64247032310436,1115
2017-01-07 00:00:00,1.3,50.0,-80.19319519782553,76.9317676779769,1049
2017-01-07 01:00:00,0.4,0.0,-68.61060321786658,68.65281901951641,975
2017-01-07 02:00:00,0.9,20.0,-58.13615650228281,61.978474452402295,883
2017-01-07 03:00:00,1.0,360.0,-46.82934052184668,56.09092933342897,810
2017-01-07 04:00:00,0.7,20.0,-38.59062329877391,50.82263793473337,688
2017-01-07 05:00:00,0.7,360.0,-29.765791314043284,45.93772467114444,740
2017-01-07 06:00:00,0.9,20.0,-21.773328594164987,41.346011959414696,692
2017-01-07 07:00:00,0.9,360.0,-13.775824608002862,37.87530931428723,646
2017-01-07 08:00:00,1.5,50.0,-9.087632616114716,33.941449143005606,550
2017-01-07 09:00:00,1.7,50.0,-4.950992623272234,30.47039605069829,634
2017-01-07 10:00:00,2.6,50.0,-4.00222436727562,33.53183403903052,566
2017-01-07 11:00:00,1.2,90.0,-1.5564374976170798,31.069289007085708,866
2017-01-07 12:00:00,0.9,20.0,1.472057230850234,30.64284000612474,783
2017-01-07 13:00:00,1.0,340.0,5.942979299642803,37.88659743427366,782
2017-01-07 14:00:00,2.9,290.0,9.325872734472071,43.796705510941216,719
2017-01-07 15:00:00,1.9,270.0,11.485872734472073,43.796705510941216,703
2017-01-07 16:00:00,2.5,290.0,21.790015095503858,51.949226953116145,639
2017-01-07 17:00:00,1.8,270.0,23.87225363022581,53.54988122388028,690
2017-01-07 18:00:00,1.5,270.0,24.59225363022581,53.54988122388027,900
2017-01-07 19:00:00,1.4,270.0,22.792253630225808,53.54988122388027,1009
2017-01-07 20:00:00,1.8,50.0,12.75394548657093,59.562053708607664,799
2017-01-07 21:00:00,1.4,50.0,6.34764255889258,59.76816726667668,888
2017-01-07 22:00:00,1.6,50.0,1.9352265665272679,62.39062389847114,899
2017-01-07 23:00:00,2.6,50.0,-5.234949421066368,65.88711592513714,870
2017-01-08 00:00:00,2.9,50.0,-9.647365413431679,69.58957255693161,957
2017-01-08 01:00:00,2.6,70.0,-18.442888343987782,71.35088109845988,1206
2017-01-08 02:00:00,1.9,70.0,-23.76224060578823,70.6456947874611,1449
2017-01-08 03:00:00,2.0,70.0,-30.528027475446773,69.50823981940592,1429
2017-01-08 04:00:00,2.2,50.0,-35.73320870376839,72.23109228374284,1487
2017-01-08 05:00:00,1.6,70.0,-41.14583819949523,71.68112830929867,1796
2017-01-08 06:00:00,2.7,70.0,-49.171505209159086,71.96096001107783,1572
2017-01-08 07:00:00,3.1,70.0,-59.65847485712983,72.5379048105923,1797
2017-01-08 08:00:00,2.6,70.0,-64.31735779484343,72.26816025981326,1592
2017-01-08 09:00:00,2.7,70.0,-68.76297807699433,71.65873588165714,1744
2017-01-08 10:00:00,3.0,50.0,-69.86608207508566,72.58435003960575,1795
2017-01-08 11:00:00,2.3,50.0,-71.8889300641108,77.90663144781028,1964
2017-01-08 12:00:00,2.0,50.0,-76.29630479019227,79.49009814620703,1948
2017-01-08 13:00:00,0.9,20.0,-78.63572257053984,79.1518088027241,1974
2017-01-08 14:00:00,2.7,270.0,-78.72611353154473,75.58111850640412,1577
2017-01-08 15:00:00,2.9,290.0,-75.75572257053985,79.1518088027241,1689
2017-01-08 16:00:00,2.6,290.0,-75.41743322705692,79.27493605432134,1739
2017-01-08 17:00:00,2.3,290.0,-74.1167783269496,82.1068628410579,1949
2017-01-08 18:00:00,2.8,270.0,-69.43677832694958,82.1068628410579,1897
2017-01-08 19:00:00,3.2,290.0,-63.651519335495934,86.04693489216957,1974
2017-01-08 20:00:00,3.1,270.0,-47.527551344084955,81.88167118140082,1818
2017-01-08 21:00:00,2.9,270.0,-33.22668735076531,78.64202162858065,1181
2017-01-08 22:00:00,4.2,250.0,-14.606118932117061,69.76822042970207,1017
2017-01-08 23:00:00,2.8,270.0,2.6440570554765745,63.75172840303606,931
2017-01-09 00:00:00,3.4,270.0,22.8815610416387,57.041025757908585,822
2017-01-09 01:00:00,3.3,270.0,43.5570839721948,53.83971721638032,883
2017-01-09 02:00:00,1.9,250.0,56.41207902454603,49.160881655685166,744
2017-01-09 03:00:00,2.4,270.0,71.81786589420457,46.698336623740346,767
2017-01-09 04:00:00,3.3,270.0,89.76493788370688,41.607458755022954,658
2017-01-09 05:00:00,2.9,270.0,105.61756737943372,39.63742272946709,720
2017-01-09 06:00:00,3.4,270.0,126.99137965347273,36.312986936341595,731
2017-01-09 07:00:00,3.5,270.0,150.07834930144347,32.49604213682712,734
2017-01-09 08:00:00,3.5,270.0,171.4738722319996,29.29473359529886,491
2017-01-09 09:00:00,3.0,270.0,191.4076845060386,25.97029780217336,366
